Performance_Date,Genre,Band_Name,Venue_Name,State_Abbr,City,TotalRev
9/30/2009,,Liang And The Fields                                                                                ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,3796.65
9/30/2009,,The Savant Posse                                                                                    ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,7778.37
10/1/2009,Rock,The Storm Experiment                                                                                ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,25066.19
10/2/2009,Jazz,Kazuki And The Fields                                                                               ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,9275.06
10/4/2009,,The Aggarwal Group                                                                                  ,Hiroki's                                                                                            ,LA,Maurepas                                          ,5053.95
10/8/2009,,Patricia And The Streets                                                                            ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,5949.13
10/9/2009,Rap,Early Anisha                                                                                        ,Dorothy's                                                                                           ,CA,Redwood City                                      ,50567.91
10/13/2009,Gospel,The Data Posse                                                                                      ,Tadashi's                                                                                           ,CA,San Jose                                          ,7295.89
10/14/2009,Pop,The Ecstasy Gang                                                                                    ,Dorothy's                                                                                           ,CA,Redwood City                                      ,3488.27
10/20/2009,Rock,Kazumi And The Hearts                                                                               ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,5396.36
10/22/2009,Pop,The Ross File                                                                                       ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,7070.66
10/25/2009,Classical,Bash The Train                                                                                      ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,2170.06
10/25/2009,Classical,The Abusive Einsteins                                                                               ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,1344.64
10/26/2009,Pop,Good Anna                                                                                           ,Yukiko's                                                                                            ,CA,Santee                                            ,4187.85
10/30/2009,,Upbeat Santiago                                                                                     ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,7016.06
11/3/2009,Classical,Bash The Train                                                                                      ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,5641.27
11/8/2009,Classical,The Macabre Galaxies                                                                                ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,3528.88
11/9/2009,,The Lin Experiment                                                                                  ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,3295.45
11/12/2009,,The Thomas Disaster                                                                                 ,Hiroki's                                                                                            ,LA,Maurepas                                          ,2609.93
11/18/2009,Pop,Erase The Future                                                                                    ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,9735.95
1/3/1998,Classical,Righteous Kazumi                                                                                    ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,1759.96
1/8/1998,Gospel,Manisha Sharma                                                                                      ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,4697.22
1/18/1998,Pop,Good Anna                                                                                           ,Yukiko's                                                                                            ,CA,Santee                                            ,2644.65
1/21/1998,Rap,Rabid Mendoza                                                                                       ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,3543.62
2/13/1998,Gospel,Wicked Road                                                                                         ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,1007.47
3/9/1998,,Alleged Pandit                                                                                      ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,3680.29
3/11/1998,Rap,Needless Meadow                                                                                     ,Tadashi's                                                                                           ,CA,San Jose                                          ,3299.86
3/14/1998,,The Lucky Group                                                                                     ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,13779.21
3/16/1998,Pop,Lakshmi And The Altars                                                                              ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,1415.58
3/18/1998,Classical,Delete The Ground                                                                                   ,Tadashi's                                                                                           ,CA,San Jose                                          ,3583.72
4/6/1998,Gospel,Manisha Sharma                                                                                      ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,69229.1
4/10/1998,Jazz,Gladden The Doom                                                                                    ,Yukiko's                                                                                            ,CA,Santee                                            ,4061.73
4/11/1998,,Alleged Pandit                                                                                      ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,4929.82
4/23/1998,,Thomas And The Salvations                                                                           ,Yukiko's                                                                                            ,CA,Santee                                            ,2403.25
5/7/1998,Classical,The Wretched Meadows                                                                                ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,7404.07
5/22/1998,,Sad Street                                                                                          ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,7958.8
5/30/1998,Gospel,The Sage Players                                                                                    ,Dorothy's                                                                                           ,CA,Redwood City                                      ,4300.01
6/1/1998,Rap,Funny Hunger                                                                                        ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,8580.92
6/11/1998,Classical,Ambitious Chen                                                                                      ,Hiroki's                                                                                            ,LA,Maurepas                                          ,5141.39
7/5/1998,Pop,Internal Govind                                                                                     ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,1139.55
7/18/1998,,The Lin Group                                                                                       ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,8651.89
8/29/1998,,Osamu And The Salvations                                                                            ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,9674.3
9/23/2004,Rap,Resolute Matsumoto                                                                                  ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,1588.16
9/24/2004,Jazz,Pay The Shakespeare                                                                                 ,Dorothy's                                                                                           ,CA,Redwood City                                      ,8537.93
9/28/2004,Gospel,Misaki And The Hungers                                                                              ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,2641.36
10/3/2004,Rock,Takumi Yoshida                                                                                      ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,4966.73
11/12/2004,Gospel,Spill The Winter                                                                                    ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,4209.47
11/13/2004,Pop,The Craven Televisions                                                                              ,Tadashi's                                                                                           ,CA,San Jose                                          ,15511.91
11/18/2004,,Ayaka And The Presents                                                                              ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,1348.78
11/18/2004,Classical,The Subdued Experiment                                                                              ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,7570.05
11/25/2004,Rap,Bao Guo                                                                                             ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,5963.28
11/27/2004,Classical,Pablo Rodriguez                                                                                     ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,1879.8
11/30/2004,Jazz,Emma Reid                                                                                           ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,6412.94
12/6/2004,Jazz,The Resolute Fools                                                                                  ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,3809.78
12/9/2004,Jazz,Catch The Class                                                                                     ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,6969.6
12/9/2004,Pop,Pablo Rivera                                                                                        ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,7243.17
12/14/2004,,The He Story                                                                                        ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,1308.16
12/16/2004,,Taylor Johnson                                                                                      ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,5734.8
12/20/2004,Classical,Lian He                                                                                             ,Yukiko's                                                                                            ,CA,Santee                                            ,7590.08
12/26/2004,Jazz,Pay The Shakespeare                                                                                 ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,9101.08
12/28/2004,,Amplify The Incoherence                                                                             ,Dorothy's                                                                                           ,CA,Redwood City                                      ,2902.39
1/17/2005,Classical,Subdued Hui                                                                                         ,Tadashi's                                                                                           ,CA,San Jose                                          ,1935.43
1/18/2005,,The Thomas Disaster                                                                                 ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,8921.15
1/24/2005,Rap,Mohandas Mukherjee                                                                                  ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,8241.32
11/19/2009,Pop,Gang Wang                                                                                           ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,4447.83
11/24/2009,Classical,Gabby Dorothy                                                                                       ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,8710.39
11/26/2009,Classical,Animated Takumi                                                                                     ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,9865.32
11/27/2009,,Empty Liang                                                                                         ,Tadashi's                                                                                           ,CA,San Jose                                          ,3339.57
11/28/2009,Pop,Anthony And The Winters                                                                             ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,1906.62
12/2/2009,Pop,Capricious Future                                                                                   ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,1947.52
12/12/2009,,Thomas And The Salvations                                                                           ,Hiroki's                                                                                            ,LA,Maurepas                                          ,3572.36
12/12/2009,Classical,Zealous A-Bomb                                                                                      ,Grace's                                                                                             ,Texas,Garland                                           ,9928.91
12/18/2009,Rap,Govind Kumar                                                                                        ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,1906.65
12/22/2009,Pop,Capricious Future                                                                                   ,Tadashi's                                                                                           ,CA,San Jose                                          ,3847.35
12/27/2009,,The Castillo Group                                                                                  ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,2832.06
12/29/2009,,Patricia And The Streets                                                                            ,Grace's                                                                                             ,Texas,Garland                                           ,1469.38
1/4/2010,Rap,Tasteful Resolution                                                                                 ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,6405.77
1/4/2010,Jazz,The Green Trains                                                                                    ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,3886.77
1/7/2010,Rap,Indira Pathan                                                                                       ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,3818.92
1/8/2010,Rock,Tranquil Winter                                                                                     ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,75151.1
1/9/2010,Rock,Tough Rios                                                                                          ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,4134.48
1/16/2010,Classical,Save The Society                                                                                    ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,4761.55
1/20/2010,Pop,Chiyoko Yoshida                                                                                     ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,8760.32
1/24/2010,Classical,Delete The Ground                                                                                   ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,5221.74
